,training_cost,testing_cost,epoch_list,batch_list
0,0.6204989599902297,0.5445873701042193,0,0
1,0.565572502746094,0.5083137853928139,0,1
2,0.5063601829635229,0.4651671402841989,0,2
3,0.4561105796793974,0.41383892600338884,0,3
4,0.40643046596506666,0.3740329394676934,0,4
5,0.38203412149005034,0.3484548574587776,0,5
6,0.35798095606276636,0.3357602841963569,0,6
7,0.40141330558563204,0.32641217578830983,0,7
8,0.35290501917265676,0.29862463948448287,0,8
9,0.30119012934230405,0.2889654933520667,0,9
10,0.28949161415572855,0.29322141574987104,0,10
11,0.32444643349881697,0.27924342383573436,0,11
12,0.30256127796345994,0.2846882016937951,0,12
13,0.30566380034475304,0.27734598746249006,0,13
14,0.3121067347451723,0.2736035873384952,0,14
15,0.31192738919331703,0.2808544403056334,0,15
16,0.3061722652853436,0.27497212467729426,0,16
17,0.3087417990940769,0.27594859951827105,0,17
18,0.3064181733814455,0.27470983340279226,0,18
19,0.31331635697379606,0.26997098108479306,0,19
20,0.29887529916437766,0.261019583911195,0,20
21,0.30293217490647684,0.27043285902676695,0,21
22,0.2798378426500087,0.25915824434301454,0,22
23,0.2956928625408877,0.267698465200481,0,23
24,0.299873463166981,0.2601220927496892,0,24
25,0.3028791911386725,0.2576597764957382,0,25
26,0.29952150659389337,0.26393442416629337,0,26
27,0.3198039711346223,0.2654270870355743,0,27
28,0.2843669322368134,0.26213274351160465,0,28
29,0.2862722202709878,0.26957213437099703,0,29
30,0.3123007265345765,0.26026876635500945,0,30
31,0.320259838151997,0.26149118300109525,0,31
32,0.2993713437733022,0.2620261866172584,0,32
33,0.27830919079459876,0.2611010811813719,0,33
34,0.2899147761966568,0.25775457442342803,0,34
35,0.29236358284801545,0.24771251183519558,0,35
36,0.2949692163718049,0.25314423065001224,0,36
37,0.300742604715255,0.2524581698804345,0,37
38,0.28578786500907616,0.2550030650887203,0,38
39,0.2707976135111264,0.25236524311187136,0,39
40,0.29079788838672244,0.24884831778620486,0,40
41,0.28494963153377667,0.25105924835000787,0,41
42,0.254959337035338,0.24766209322901692,0,42
43,0.3027088895320636,0.25561469252989233,0,43
44,0.2852185224071656,0.2506986190064273,0,44
45,0.31951984662082306,0.2552415185153379,0,45
46,0.26968412624114957,0.2617887198534348,0,46
47,0.28412355182938015,0.2586006295898511,0,47
48,0.2841090887546529,0.25446529191409084,0,48
49,0.30011105961989554,0.26458933570010135,0,49
50,0.2768175936446932,0.25967667009617185,0,50
51,0.2885566910991285,0.2655399176660829,0,51
52,0.34278614684797204,0.26264227105420124,0,52
53,0.3065910917779206,0.2563645127636846,0,53
54,0.2866155069033083,0.25705100360008293,0,54
55,0.2582446543971141,0.25142150038734196,0,55
56,0.2725460547998523,0.2486579457542804,0,56
57,0.25219488182695204,0.25050434361524776,0,57
58,0.32200018004292497,0.24472036217508514,0,58
59,0.25889914995228036,0.25328110600232456,0,59
60,0.27026666385958803,0.24885567110678197,0,60
61,0.2515299018609537,0.248745947953588,0,61
62,0.2704354592249047,0.2571141787367927,0,62
63,0.3028473098378062,0.2527083956313623,0,63
64,0.3028139090234936,0.25173177776205247,0,64
65,0.28120420529752493,0.24652792250664698,0,65
66,0.2763064098431287,0.25446000021145476,0,66
67,0.26478815586290366,0.26073370249953104,0,67
68,0.2910944538335816,0.2619124514687986,0,68
69,0.2768633817376023,0.2570974098658475,0,69
70,0.3000501418476566,0.25639025805464644,0,70
71,0.2906693662127496,0.2580317302941917,0,71
72,0.26736050856618604,0.263149616629572,0,72
73,0.2951190597223765,0.2597846426923345,0,73
74,0.24391152316364154,0.2538244870723175,0,74
75,0.28106367153387735,0.2630946190928687,0,75
76,0.2687663809622249,0.26127181149905077,0,76
77,0.3131552885634868,0.2516616579151353,0,77
78,0.29620697138148355,0.24611358964304902,0,78
